Country/Other,Population (2020),Yearly Change,Net Change,Density (P/KmÂ²),Land Area (KmÂ²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Area
Thailand,69799978,0.25,174396,137,510890,19444,1.5,40,51,0.9,Asian
Vietnam,97338579,0.91,876473,314,310070,-80000,2.1,32,38,1.25,Asian
Algeria,43851044,1.85,797990,18,2381740,-10000,3.1,29,73,0.56,Africal
Angola,32866272,3.27,1040977,26,1246700,6413,5.6,17,67,0.42,Africal
Togo,8278724,2.43,196358,152,54390,-2000,4.4,19,43,0.11,Africal
Libya,6871292,1.38,93840,4,1759540,-1999,2.3,29,78,0.09,Africal
Liberia,5057681,2.44,120307,53,96320,-5000,4.4,19,53,0.06,Africal
Angola,32866272,3.27,1040977,26,1246700,6413,5.6,17,67,0.42,Africal
Tunisia,11818619,1.06,123900,76,155360,-4000,2.2,33,70,0.15,Africal
Egypt,102334404,1.94,1946331,103,995450,-38033,3.3,25,43,1.31,Africal
Seychelles,98347,0.62,608,214,460,-200,2.5,34,56,0,Africal
South Sudan,11193725,1.19,131612,18,610952,-174200,4.7,19,25,0.14,Africal
Sudan,43849260,2.42,1036022,25,1765048,-50000,4.4,20,35,0.56,Africal
Congo,5518087,2.56,137579,16,341500,-4000,4.5,19,70,0.07,Africal
DR Congo,89561403,3.19,2770836,40,2267050,23861,6,17,46,1.15,Africal
Uganda,45741007,3.32,1471413,229,199810,168694,5,17,26,0.59,Africal
Eritrea,3546421,1.41,49304,35,101000,-39858,4.1,19,63,0.05,Africal
Ethiopia,114963588,2.57,2884858,115,1000000,30000,4.3,19,21,1.47,Africal
Burundi,11890784,3.12,360204,463,25680,2001,5.5,17,14,0.15,Africal
Benin,12123200,2.73,322049,108,112760,-2000,4.9,19,48,0.16,Africal
Tanzania,59734218,2.98,1728755,67,885800,-40076,4.9,18,37,0.77,Africal
Nigeria,206139589,2.58,5175990,226,910770,-60000,5.4,18,52,2.64,Africal
Niger,24206644,3.84,895929,19,1266700,4000,7,15,17,0.31,Africal
